City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,1.79,78,97,1.34,US,1675825380
1,bredasdorp,-34.5322,20.0403,18.25,81,7,2.93,ZA,1675825592
2,batemans bay,-35.7167,150.1833,20.61,84,100,0.94,AU,1675825593
3,lebu,-37.6167,-73.65,14.88,88,0,7.79,CL,1675825043
4,bay roberts,47.5999,-53.2648,-2.7,85,100,7.15,CA,1675825594
5,punta arenas,-53.15,-70.9167,12.06,76,0,1.54,CL,1675825532
6,coquimbo,-29.9533,-71.3436,17.85,88,75,2.06,CL,1675825361
7,chitrakonda,18.1167,82.0833,24.04,37,8,0.89,IN,1675825594
8,turukhansk,65.8167,87.9833,-16.71,97,100,2.45,RU,1675825008
9,longyearbyen,78.2186,15.6401,-4.09,68,40,8.75,SJ,1675825595
10,marbella,36.5154,-4.8858,11.25,90,100,5.52,ES,1675825497
11,mwingi,-0.9344,38.0601,17.1,69,11,0.97,KE,1675825596
12,weihe,32.9952,105.3247,3.74,98,100,1.03,CN,1675825596
13,hilo,19.7297,-155.09,25.16,88,100,4.63,US,1675825492
14,esil,51.9556,66.4042,-16.06,97,94,3.08,KZ,1675825597
15,la ronge,55.1001,-105.2842,-0.86,47,0,4.63,CA,1675824801
16,ponta delgada,37.7333,-25.6667,13.4,82,40,5.14,PT,1675825597
17,harbour breton,47.4833,-55.7983,-6.17,80,100,8.67,CA,1675825598
18,lelydorp,5.7,-55.2333,24.41,90,60,1.01,SR,1675825598
19,lorengau,-2.0226,147.2712,25.71,92,100,8.61,PG,1675824826
20,olinda,-8.0089,-34.8553,24.85,73,20,1.54,BR,1675825599
21,port elizabeth,-33.918,25.5701,19.62,90,20,3.09,ZA,1675825599
22,leh,34.1667,77.5833,-18.06,65,10,1.07,IN,1675824789
23,morant bay,17.8815,-76.4093,25.79,82,13,5.14,JM,1675825600
24,daru,-9.0763,143.2092,29.58,70,99,4.65,PG,1675825600
25,port alfred,-33.5906,26.891,20.66,90,100,1.79,ZA,1675825601
26,birjand,32.8663,59.2211,7.08,80,11,2.76,IR,1675825601
27,acapulco,16.8634,-99.8901,24.53,76,2,2.33,MX,1675824800
28,kapaa,22.0752,-159.319,25.99,85,75,7.2,US,1675825419
29,rikitea,-23.1203,-134.9692,26.58,69,37,4.04,PF,1675825362
30,busselton,-33.65,115.3333,26.1,44,0,0.72,AU,1675825555
31,fortuna,40.5982,-124.1573,11.1,84,100,1.54,US,1675825602
32,esperance,-33.8667,121.9,22.01,64,78,5.21,AU,1675825603
33,bubaque,11.2833,-15.8333,24.01,65,5,6.12,GW,1675825603
34,luanda,-8.8368,13.2343,24.58,80,100,3.44,AO,1675825603
35,airai,-8.9266,125.4092,21.25,79,80,1.49,TL,1675825604
36,khatanga,71.9667,102.5,-44.17,100,63,1.31,RU,1675825604
37,ushuaia,-54.8,-68.3,8.79,89,99,3.16,AR,1675825605
38,leo,11.1,-2.1,26.67,17,98,3.43,BF,1675825605
39,buraydah,26.326,43.975,11.79,44,100,3.12,SA,1675825605
40,makakilo city,21.3469,-158.0858,26.18,69,75,5.66,US,1675825606
41,hualmay,-11.0964,-77.6139,22.58,85,26,2.68,PE,1675825606
42,hobart,-42.8794,147.3294,16.92,69,75,6.17,AU,1675825512
43,vestmannaeyjar,63.4427,-20.2734,0.55,53,100,17.13,IS,1675825402
44,merauke,-8.4667,140.3333,27.96,81,84,6.95,ID,1675825607
45,traralgon,-38.1833,146.5333,26.97,29,22,2.23,AU,1675825607
46,qaanaaq,77.484,-69.3632,-31.9,67,6,2.74,GL,1675825585
47,limbang,4.75,115.0,30.06,59,67,1.88,MY,1675825447
48,flinders,-34.5833,150.8552,21.77,89,100,0.89,AU,1675825608
49,narsaq,60.9167,-46.05,-24.88,65,3,3.94,GL,1675825608
50,santa rosa,14.3122,121.1114,30.61,69,100,6.02,PH,1675825608
51,hermanus,-34.4187,19.2345,19.33,83,0,5.33,ZA,1675825609
52,castro,-24.7911,-50.0119,16.39,95,71,2.35,BR,1675825527
53,andenes,69.3143,16.1194,4.4,75,40,13.38,NO,1675825609
54,lasa,46.6166,10.7002,-4.43,80,32,0.36,IT,1675825610
55,carnarvon,-24.8667,113.6333,29.83,50,1,6.77,AU,1675825610
56,manono,-7.3,27.4167,19.48,98,99,0.63,CD,1675825610
57,fayaoue,-20.65,166.5333,24.79,90,100,9.65,NC,1675825611
58,ancud,-41.8697,-73.8203,13.49,93,2,1.9,CL,1675825378
59,dingle,10.9995,122.6711,27.57,72,100,7.31,PH,1675825611
60,neuquen,-38.9516,-68.0591,26.75,20,4,6.96,AR,1675825612
61,ponta do sol,32.6667,-17.1,15.35,62,37,3.72,PT,1675825612
62,mahebourg,-20.4081,57.7,26.25,79,24,7.12,MU,1675825613
63,mataura,-46.1927,168.8643,14.49,51,64,5.22,NZ,1675825613
64,jamestown,42.097,-79.2353,2.8,93,100,6.17,US,1675825613
65,panalingaan,8.7842,117.4231,28.57,66,100,1.37,PH,1675825614
66,kattivakkam,13.2167,80.3167,24.05,67,66,0.86,IN,1675825614
67,chengde,40.9725,117.9361,-1.15,32,7,2.02,CN,1675825615
68,jackson,42.4165,-122.8345,8.73,74,40,0.0,US,1675825491
69,avarua,-21.2078,-159.775,29.03,74,34,4.63,CK,1675825615
70,barrow,71.2906,-156.7887,-18.99,78,100,4.63,US,1675825616
71,warrington,53.3925,-2.5802,5.45,90,32,2.57,GB,1675825402
72,bengkulu,-3.8004,102.2655,28.68,57,65,3.14,ID,1675825616
73,pevek,69.7008,170.3133,-29.91,95,100,1.47,RU,1675825617
74,skjervoy,70.0311,20.9714,3.0,64,29,9.14,NO,1675825565
75,bluff,-46.6,168.3333,12.56,64,49,12.07,NZ,1675825617
76,cape town,-33.9258,18.4232,21.23,73,20,5.36,ZA,1675825512
77,aksarka,66.5606,67.7975,-13.85,90,100,9.0,RU,1675825618
78,upernavik,72.7868,-56.1549,-30.39,95,47,1.81,GL,1675825020
79,tuktoyaktuk,69.4541,-133.0374,-29.18,94,100,1.9,CA,1675825618
80,biak,-0.9131,122.8766,25.57,80,100,3.04,ID,1675825618
81,ayan,56.45,138.1667,-26.84,58,26,2.98,RU,1675825619
82,vaini,-21.2,-175.2,29.09,79,40,2.57,TO,1675825619
83,georgetown,5.4112,100.3354,28.96,65,20,5.14,MY,1675825620
84,medea,36.2642,2.7539,5.0,67,100,2.39,DZ,1675825620
85,yellowknife,62.456,-114.3525,-19.69,83,100,2.68,CA,1675825621
86,kruisfontein,-34.0033,24.7314,18.27,83,100,1.97,ZA,1675825099
87,victoria,22.2855,114.1577,20.54,83,97,5.81,HK,1675825546
88,butaritari,3.0707,172.7902,27.25,81,100,9.66,KI,1675825621
89,moron,-34.6534,-58.6198,28.31,64,0,4.16,AR,1675825622
90,necochea,-38.5473,-58.7368,22.35,77,13,6.32,AR,1675825623
91,port-gentil,-0.7193,8.7815,27.01,80,92,3.91,GA,1675825624
92,amboasary,-25.0333,46.3833,22.52,80,100,1.79,MG,1675825626
93,mayo,38.8876,-76.5119,9.37,82,0,3.6,US,1675825607
94,ulaangom,49.9811,92.0667,-24.12,96,100,0.36,MN,1675825628
95,xai-xai,-25.0519,33.6442,22.96,95,79,2.26,MZ,1675824911
96,pacific grove,36.6177,-121.9166,11.82,87,0,1.54,US,1675825629
97,cananeia,-25.0147,-47.9267,23.5,88,38,1.53,BR,1675825629
98,brae,60.3964,-1.353,6.8,73,100,13.76,GB,1675824857
99,abaetetuba,-1.7181,-48.8825,23.71,95,100,1.92,BR,1675825512
100,tuatapere,-46.1333,167.6833,13.78,56,58,7.24,NZ,1675825632
101,puerto ayora,-0.7393,-90.3518,26.42,92,55,2.24,EC,1675825573
102,barcelos,41.5388,-8.6151,10.08,68,92,5.78,PT,1675825634
103,menongue,-14.6585,17.691,16.35,82,100,1.48,AO,1675825555
104,atuona,-9.8,-139.0333,26.2,75,24,7.46,PF,1675825643
105,camara de lobos,32.6333,-16.9667,15.35,80,75,4.12,PT,1675825646
106,ribeira grande,38.5167,-28.7,12.65,67,27,2.68,PT,1675825652
107,rovaniemi,66.5,25.7167,-3.33,93,0,5.66,FI,1675825436
108,bambanglipuro,-7.95,110.2833,25.89,83,100,1.8,ID,1675825654
109,dikson,73.5069,80.5464,-21.26,91,100,10.16,RU,1675825655
110,sao joao da barra,-21.6403,-41.0511,23.2,94,100,1.69,BR,1675825655
111,saint-philippe,-21.3585,55.7679,25.77,83,89,5.97,RE,1675825656
112,codrington,-38.2667,141.9667,19.2,58,80,6.74,AU,1675825069
113,leningradskiy,69.3833,178.4167,-31.38,95,100,2.18,RU,1675825657
114,dudinka,69.4058,86.1778,-26.34,100,95,2.07,RU,1675825657
115,cherskiy,68.75,161.3,-33.2,95,100,2.52,RU,1675825658
116,songjianghe,42.1859,127.479,-6.8,58,3,4.2,CN,1675825658
117,aksu,41.1231,80.2644,-3.74,64,8,2.03,CN,1675825643
118,trelew,-43.249,-65.3051,18.71,54,2,2.61,AR,1675825659
119,vytegra,61.0064,36.4481,-3.62,91,100,4.08,RU,1675825659
120,ures,29.4333,-110.4,14.21,17,0,2.9,MX,1675825660
121,puerto ayacucho,5.6639,-67.6236,26.76,63,70,1.0,VE,1675825660
122,lompoc,34.6391,-120.4579,11.68,85,0,4.47,US,1675825660
123,zherdevka,51.8486,41.4606,-15.21,95,7,3.67,RU,1675825661
124,kodiak,57.79,-152.4072,-4.27,54,0,4.63,US,1675825516
125,zhezkazgan,47.8043,67.7144,-15.01,85,100,2.0,KZ,1675825661
126,oranjemund,-28.55,16.4333,17.4,90,99,6.87,NA,1675825633
127,alta floresta,-9.8756,-56.0861,21.68,97,100,0.59,BR,1675825662
128,dunedin,-45.8742,170.5036,16.25,46,71,7.92,NZ,1675825067
129,tula,54.2044,37.6111,-13.77,98,63,1.7,RU,1675825601
130,mar del plata,-38.0023,-57.5575,23.38,94,0,8.94,AR,1675825648
131,iqaluit,63.7506,-68.5145,-34.15,68,40,2.06,CA,1675825663
132,saint george,37.1041,-113.5841,8.33,46,0,0.89,US,1675825470
133,cocorit,27.5833,-109.9667,15.51,18,1,3.99,MX,1675825663
134,zambezi,-13.5432,23.1047,16.61,98,100,2.14,ZM,1675825664
135,tiksi,71.6872,128.8694,-36.76,99,99,2.68,RU,1675825664
136,rincon,32.296,-81.2354,13.25,87,20,0.0,US,1675825534
137,tasiilaq,65.6145,-37.6368,-17.91,39,0,12.0,GL,1675825664
138,severo-kurilsk,50.6789,156.125,-3.94,55,15,4.28,RU,1675825665
139,pombia,45.653,8.6336,0.14,76,8,1.93,IT,1675825665
140,marfino,55.7028,37.3822,-6.86,79,100,5.0,RU,1675825666
